Timestamp,SP1,SP2,SP3,SP4,SP5,SP6,SP7
2024-06-25 22:52:03,occupied,occupied,empty,occupied,occupied,occupied,occupied
2024-06-25 22:54:31,occupied,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:36:34,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:38:40,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:38:41,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:40:52,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:40:52,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:41:35,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:41:35,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:41:35,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:41:35,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:41:35,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:41:36,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-26 16:41:36,empty,occupied,empty,occupied,occupied,occupied,occupied
2024-06-26 16:41:36,empty,occupied,empty,empty,occupied,occupied,occupied
2024-06-27 17:45:06,empty,occupied,empty,empty,empty,empty,empty
2024-06-27 17:47:35,empty,occupied,empty,empty,empty,empty,empty
2024-06-27 17:48:21,empty,occupied,empty,empty,empty,empty,empty
